               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.032981,            0.027156,           0.0017612,              0.7875,             0.64187,             0.69265,             0.38717,            0.036534,            0.024898,           0.0038087,            0.001882,            0.001882,            0.001882
                 125,            0.032906,             0.02721,           0.0019366,             0.78729,             0.64303,             0.68967,             0.38849,            0.036545,            0.024937,           0.0038008,            0.001816,            0.001816,            0.001816
                 126,            0.032865,            0.027129,           0.0018159,             0.80345,             0.62613,             0.69051,             0.38864,             0.03658,            0.025003,           0.0037978,             0.00175,             0.00175,             0.00175
                 127,            0.032948,            0.026945,           0.0017822,             0.79645,             0.63212,             0.69246,             0.38871,             0.03659,            0.025061,           0.0037877,            0.001684,            0.001684,            0.001684
                 128,            0.032885,            0.027351,           0.0017417,             0.78477,              0.6395,             0.69303,             0.38892,             0.03656,            0.025058,           0.0037794,            0.001618,            0.001618,            0.001618
                 129,            0.032865,             0.02709,           0.0017912,             0.78405,             0.64318,             0.69289,             0.39101,            0.036541,             0.02506,           0.0037739,            0.001552,            0.001552,            0.001552
                 130,             0.03259,            0.026884,           0.0018086,             0.78834,             0.64063,             0.69425,             0.39072,            0.036521,            0.025058,           0.0037619,            0.001486,            0.001486,            0.001486
                 131,            0.032639,            0.026832,           0.0018305,             0.78095,             0.64238,             0.69265,             0.39108,            0.036517,            0.025055,           0.0037689,             0.00142,             0.00142,             0.00142
                 132,            0.032491,            0.026775,           0.0018354,             0.79499,               0.631,             0.69289,             0.39082,            0.036504,            0.025081,           0.0037487,            0.001354,            0.001354,            0.001354
                 133,            0.032541,            0.026935,           0.0017197,             0.79257,             0.63307,             0.69378,             0.39161,            0.036523,             0.02513,           0.0037548,            0.001288,            0.001288,            0.001288
                 134,            0.032542,            0.026886,           0.0018135,             0.78747,             0.63895,             0.69235,             0.39056,            0.036537,            0.025158,           0.0037629,            0.001222,            0.001222,            0.001222
                 135,            0.032258,            0.026569,           0.0016647,             0.78375,             0.64044,             0.69306,             0.39037,            0.036543,            0.025198,           0.0037632,            0.001156,            0.001156,            0.001156
                 136,            0.032455,            0.026964,           0.0017684,             0.77846,             0.64628,             0.69465,             0.39199,            0.036541,            0.025208,           0.0037663,             0.00109,             0.00109,             0.00109
                 137,             0.03218,            0.026305,           0.0017216,             0.78105,             0.64379,             0.69379,             0.39143,            0.036553,            0.025248,           0.0037643,            0.001024,            0.001024,            0.001024
                 138,            0.032192,            0.026636,           0.0017238,             0.78428,              0.6407,             0.69352,             0.39073,            0.036563,            0.025258,           0.0037735,            0.000958,            0.000958,            0.000958
                 139,            0.032083,            0.026195,           0.0017478,             0.78717,             0.63778,             0.69298,              0.3908,            0.036563,            0.025267,           0.0037839,            0.000892,            0.000892,            0.000892
                 140,            0.031997,            0.026231,           0.0016359,             0.78634,             0.63635,              0.6934,             0.39144,            0.036552,            0.025285,           0.0038013,            0.000826,            0.000826,            0.000826
                 141,            0.031849,             0.02651,           0.0016392,             0.78018,             0.63989,             0.69238,              0.3918,            0.036547,            0.025314,           0.0038137,             0.00076,             0.00076,             0.00076
                 142,            0.031939,            0.026248,           0.0016125,             0.77692,             0.63896,             0.69281,              0.3918,            0.036545,            0.025345,           0.0038283,            0.000694,            0.000694,            0.000694
                 143,            0.031842,            0.025876,           0.0015926,             0.78136,             0.63782,             0.69455,             0.39214,            0.036549,            0.025384,           0.0038434,            0.000628,            0.000628,            0.000628
                 144,             0.03176,            0.026197,           0.0017045,             0.78544,             0.63577,             0.69451,              0.3914,            0.036551,            0.025404,            0.003851,            0.000562,            0.000562,            0.000562
                 145,            0.031922,            0.025903,           0.0016589,             0.78591,             0.63958,             0.69534,             0.39148,            0.036558,            0.025444,           0.0038658,            0.000496,            0.000496,            0.000496
                 146,            0.031597,            0.025946,           0.0016303,             0.78447,             0.64318,             0.69434,             0.39127,            0.036562,            0.025475,           0.0038895,             0.00043,             0.00043,             0.00043
                 147,            0.031699,            0.025912,           0.0016894,              0.7847,             0.64266,             0.69581,              0.3909,            0.036564,            0.025504,           0.0039036,            0.000364,            0.000364,            0.000364
                 148,            0.031788,            0.026387,            0.001633,             0.78536,             0.64042,             0.69455,             0.39084,            0.036564,             0.02553,           0.0039192,            0.000298,            0.000298,            0.000298
                 149,            0.031408,            0.025816,           0.0015412,             0.78538,             0.64228,             0.69562,             0.39098,            0.036571,             0.02556,           0.0039354,            0.000232,            0.000232,            0.000232
